time, dist, speed, angle, rot, f_uh, l_uh, r_uh
52, 0, 0, 0, 0, 680, 227, 255
174, 7, 145, 0, -4, 680, 236, 243
297, 33, 212, 0, 1, 687, 227, 221
421, 57, 196, 0, 6, 687, 219, 213
533, 80, 206, 0, -5, 687, 257, 203
647, 103, 197, 0, 0, 687, 195, 203
766, 126, 201, 0, -2, 687, 259, 185
875, 148, 200, 0, -3, 687, 197, 185
984, 170, 199, 0, 4, 687, 203, 251
1096, 193, 205, 0, 0, 786, 191, 267
1205, 214, 197, 0, -1, 758, 191, 259
1314, 236, 202, 0, 3, 744, 191, 282
1425, 258, 201, 0, 0, 722, 189, 326
1534, 280, 198, 0, -2, 698, 189, 321
1644, 302, 199, 0, 1, 679, 189, 326
1754, 324, 206, 0, -1, 658, 189, 321
1865, 346, 200, 0, -3, 635, 189, 321
1975, 368, 200, 0, -2, 616, 189, 326
2084, 390, 202, 0, -1, 598, 184, 334
2194, 412, 204, 0, -1, 572, 195, 840
2307, 434, 201, 0, 1, 321, 191, 802
2415, 456, 201, 0, -1, 527, 190, 802
2531, 479, 199, 0, 4, 519, 191, 762
2642, 502, 200, 0, 1, 496, 221, 757
2752, 524, 199, 0, 2, 462, 225, 469
2862, 546, 197, 0, 0, 439, 326, 1002
2974, 568, 200, 0, 1, 411, 326, 948
3084, 590, 198, 0, 1, 384, 324, 985
3194, 612, 200, 0, -3, 365, 630, 992
3307, 635, 198, 0, 1, 349, 649, 1201
3417, 657, 196, 0, 1, 321, 618, 796
3531, 679, 199, 0, -2, 326, 366, 107
3641, 702, 199, 0, 0, 296, 364, 113
3752, 724, 200, 0, 0, 267, 609, 121
3862, 746, 200, 0, 1, 243, 581, 121
3974, 768, 196, 0, 0, 220, 559, 120
4084, 790, 204, 0, 1, 191, 562, 122
5082, 816, 2, 90, 24, 578, 506, 156
5197, 822, 118, 90, -1, 582, 506, 156
5322, 848, 217, 90, -10, 573, 990, 154
5432, 870, 201, 90, -2, 544, 990, 149
5542, 891, 202, 90, -3, 523, 990, 156
5652, 913, 191, 90, -1, 499, 990, 149
5762, 935, 200, 90, -2, 474, 990, 143
5872, 957, 199, 90, -3, 456, 403, 149
5984, 980, 200, 90, 4, 428, 383, 149
6093, 1001, 203, 90, 4, 404, 518, 147
6202, 1024, 202, 90, 0, 385, 380, 147
6312, 1045, 198, 90, 2, 366, 347, 149
6424, 1068, 197, 90, -3, 340, 328, 143
6536, 1090, 200, 90, 1, 326, 326, 166
6649, 1113, 202, 90, 0, 298, 326, 139
6762, 1135, 202, 90, 0, 273, 330, 147
6872, 1157, 194, 90, 3, 259, 336, 137
6983, 1180, 201, 90, -2, 234, 536, 137
7093, 1202, 200, 90, -1, 211, 321, 135
7205, 1224, 205, 90, 2, 195, 540, 135
8232, 1250, -7, 180, 19, 588, 553, 147
8344, 1255, 113, 180, -5, 588, 553, 147
8455, 1278, 229, 180, -4, 573, 542, 138
8567, 1300, 198, 180, -4, 542, 551, 166
8675, 1322, 201, 180, -1, 518, 546, 143
8787, 1344, 197, 180, -3, 492, 561, 128
8897, 1366, 204, 180, 1, 475, 578, 118
9007, 1388, 200, 180, 0, 456, 559, 113
9116, 1410, 200, 180, 1, 435, 580, 113
9226, 1432, 196, 180, 0, 412, 563, 145
9335, 1454, 199, 180, 3, 384, 574, 2550
9447, 1476, 197, 180, 1, 364, 590, 1223
9561, 1499, 203, 180, 4, 345, 598, 1147
9670, 1521, 197, 180, -5, 321, 616, 1139
9782, 1543, 200, 180, 3, 296, 383, 1143
9892, 1565, 200, 180, -2, 280, 326, 1147
10005, 1588, 198, 180, -1, 249, 326, 1139
10116, 1610, 199, 180, 0, 227, 831, 1105
10225, 1632, 200, 180, 2, 204, 185, 1114
10341, 1655, 199, 180, 0, 189, 326, 1115
11372, 1681, 1, 89, -9, 1174, 107, 321
11493, 1687, 135, 90, 5, 1181, 128, 321
11604, 1710, 222, 90, 1, 1179, 128, 326
11718, 1733, 196, 90, 2, 1164, 122, 349
11826, 1755, 205, 90, 0, 1145, 120, 326
11935, 1777, 200, 90, -1, 1145, 122, 298
12045, 1798, 200, 90, -2, 1130, 130, 271
12161, 1822, 198, 90, 0, 1130, 122, 289
12272, 1844, 201, 90, 0, 1130, 130, 273
12383, 1866, 203, 90, -3, 1046, 118, 265
12492, 1888, 202, 90, 1, 1016, 128, 271
12602, 1910, 201, 90, 3, 993, 126, 267
12713, 1932, 198, 90, 6, 972, 126, 273
12839, 1957, 199, 90, 0, 952, 582, 281
12951, 1980, 199, 90, 0, 917, 580, 286
13063, 2002, 200, 90, 3, 1633, 586, 280
13182, 2026, 202, 90, 3, 825, 590, 286
13297, 2049, 199, 90, 1, 326, 321, 290
13414, 2073, 196, 90, -1, 765, 243, 289
13532, 2096, 201, 90, 5, 1038, 219, 326
13647, 2119, 198, 90, 3, 1528, 205, 321
13764, 2142, 203, 90, 2, 1517, 211, 334
13877, 2165, 197, 90, 2, 1517, 229, 653
13997, 2189, 201, 90, 3, 1517, 251, 653
